Y,ID
4.0,TCDHPOP2_1
4.4,TCDHPOP2_1
3.8,TCDHPOP2_1
3.5,TCDHPOP2_1
5.2,TCDHPOP2_1
4.0,TCDHPOP2_1
3.6,TCDHPOP2_1
3.3,TCDHPOP2_1
3.2,TCDHPOP2_1
3.6,TCDHPOP2_1
3.2,TCDHPOP2_1
3.7,TCDHPOP2_1
3.9,TCDHPOP2_1
3.7,TCDHPOP2_1
2.8,TCDHPOP2_1
3.7,TCDHPOP2_1
3.2,TCDHPOP2_1
4.3,TCDHPOP2_1
4.0,TCDHPOP2_1
3.5,TCDHPOP2_1
3.5,TCDHPOP2_1
4.1,TCDHPOP2_1
4.9,TCDHPOP2_1
5.7,TCDHPOP2_1
3.2,TCDHPOP2_1
5.2,TCDHPOP2_1
2.8,TCDHPOP2_1
4.5,TCDHPOP2_1
5.2,TCDHPOP2_1
3.9,TCDHPOP2_1
3.4,TCDHPOP2_1
4.0,TCDHPOP2_1
5.2,TCDHPOP2_1
2.1,TCDHPOP2_1
3.8,TCDHPOP2_1
3.9,TCDHPOP2_1
2.7,TCDHPOP2_1
3.6,TCDHPOP2_1
3.4,TCDHPOP2_1
3.8,TCDHPOP2_1
2.7,TCDHPOP2_1
2.5,TCDHPOP2_1
2.6,TCDHPOP2_1
3.6,TCDHPOP2_1
3.5,TCDHPOP2_1
3.9,TCDHPOP2_1
3.4,TCDHPOP2_1
2.8,TCDHPOP2_1
2.8,TCDHPOP2_1
3.1,TCDHPOP2_1
3.1,TCDHPOP2_1
4.1,TCDHPOP2_1
2.5,TCDHPOP2_1
3.3,TCDHPOP2_1
2.8,TCDHPOP2_1
4.1,TCDHPOP2_1
2.8,TCDHPOP2_1
3.2,TCDHPOP2_1
2.8,TCDHPOP2_1
3.4,TCDHPOP2_1
3.8,TCDHPOP2_1
3.8,TCDHPOP2_1
2.8,TCDHPOP2_1
4.7,TCDHPOP2_1
2.5,TCDHPOP2_1
5.6,TCDHPOP2_1
4.6,TSCTW_CYN
